1,Single_barline,Gclef,D_S,8_6,Natural,8_5,8_4,8_5,4_6,8_3,dot,16_3,Single_barline,8_6,Natural,8_5,8_4,8_5,4_6,Sharp,4_5,Single_barline,4_10,dot,8_10,8_10,8_11,8_10,8_9,Single_barline,4_8,dot,8_8,8_8,8_9,8_8,8_7,Single_barline
2,Single_barline,Fclef,D_S,8_0,8_4,8_7,8_9,8_-3,8_1,8_4,8_6,Single_barline,8_0,8_4,8_7,8_9,8_1,8_5,8_8,8_10,Single_barline,8_4,8_8,8_11,8_13,8_1,8_5,8_8,8_10,Single_barline,8_2,8_6,8_9,8_11,8_-1,8_3,8_6,8_8,Single_barline
3,Single_barline,Gclef,D_S,8_6,Natural,8_5,8_4,8_5,4_6,8_3,dot,16_3,Single_barline,8_6,Natural,8_5,8_4,8_5,4_6,dot,Sharp,8_5,Single_barline,8_8,8_1,8_2,8_1,8_0,8_7,8_8,8_7,Single_barline,8_6,8_1,8_6,8_4,8_3,8_3,8_2,8_3,Single_barline
4,Single_barline,Fclef,D_S,8_0,8_4,8_7,8_9,8_-3,8_1,8_4,8_6,Single_barline,8_0,8_4,8_7,8_9,8_1,8_5,8_8,8_10,Single_barline,8_4,8_8,8_11,8_13,8_1,8_5,8_8,8_10,Single_barline,8_2,8_6,8_9,8_11,8_-1,8_3,8_6,8_8,Single_barline
5,Single_barline,Gclef,D_S,8_4,8_4,8_5,8_4,8_3,8_3,8_2,8_3,Single_barline,8_4,8_4,8_3,8_4,8_5,8_5,8_4,8_5,Single_barline,8_6,8_6,8_7,8_6,8_5,8_5,8_6,8_5,Single_barline,8_4,8_4,8_3,8_4,8_5,8_5,8_8,8_7,Single_barline
6,Single_barline,Fclef,D_S,8_0,8_4,8_7,8_9,8_-3,8_1,8_4,8_6,Single_barline,8_0,8_4,8_7,8_9,8_1,8_5,8_8,8_10,Single_barline,8_4,8_8,8_11,8_13,8_1,8_5,8_8,8_10,Single_barline,8_2,8_6,8_9,8_11,8_-1,8_3,8_6,8_8,Single_barline
7,Single_barline,Gclef,D_S,8_6,8_6,8_7,8_9,8_8,8_1,8_3,8_8,Single_barline,8_8,8_9,8_8,8_9,8_7,8_3,8_7,8_5,Single_barline,16_6,16_7,8_8,8_6,16_5,16_6,8_7,8_5,Single_barline,16_4,16_5,8_6,8_4,16_10,16_9,8_8,8_7,Single_barline
8,Single_barline,Fclef,D_S,8_0,8_4,8_7,8_9,8_-3,8_1,8_4,8_6,Single_barline,8_0,8_4,8_7,8_9,8_1,8_5,8_8,8_10,Single_barline,8_4,8_8,8_11,8_13,8_1,8_5,8_8,8_10,Single_barline,8_2,8_6,8_9,8_11,8_-1,8_3,8_6,8_8,Single_barline
9,Single_barline,Gclef,D_S,16_9,16_8,8_7,8_9,16_6,16_7,8_8,8_10,Single_barline,16_11,16_10,8_9,8_11,16_10,16_9,8_8,8_7,Single_barline,16_6,16_5,8_6,8_3,16_3,16_4,8_5,8_3,Single_barline
10,Single_barline,Fclef,D_S,8_0,8_4,8_7,8_9,8_-3,8_1,8_4,8_6,Single_barline,8_0,8_4,8_7,8_9,8_1,8_5,8_8,8_10,Single_barline,8_4,8_8,8_11,8_13,8_1,8_5,8_8,8_10,Single_barline
